-23.9, -9.65, 0.0 ; 5.0, 1.75, 0.0
-23.9, -9.65, 0.0 ; -5.0, -8.75, 0.0
-23.9, -9.65, 0.0 ; -4.0, -8.25, 0.0
-23.9, -9.65, 0.0 ; -4.5, -8.75, 0.0
-23.9, -9.65, 0.0 ; -4.0, -8.25, 0.0
-23.0, -10.55, 0.0 ; -5.5, -8.25, 0.0
-23.0, -10.55, 0.0 ; 6.0, 2.25, 0.0
-23.0, -10.55, 0.0 ; -6.5, -8.75, 0.0
-23.0, -10.55, 0.0 ; 3.5, 2.25, 0.0
-23.0, -10.55, 0.0 ; 3.5, 2.25, 0.0
-19.65, -10.7, 0.0 ; -4.5, -8.75, 0.0
-19.65, -10.7, 0.0 ; 5.0, 2.25, 0.0
-19.65, -10.7, 0.0 ; -3.5, -8.25, 0.0
-19.65, -10.7, 0.0 ; -5.0, -8.75, 0.0
-19.65, -10.7, 0.0 ; -3.0, -8.75, 0.0
-17.35, -11.2, 0.0 ; -5.0, -8.75, 0.0
-17.35, -11.2, 0.0 ; -2.5, -8.25, 0.0
-17.35, -11.2, 0.0 ; -4.0, -8.75, 0.0
-17.35, -11.2, 0.0 ; -5.0, -8.75, 0.0
-17.35, -11.2, 0.0 ; -5.5, -8.75, 0.0
-15.5, -9.6, 0.0 ; -3.5, -8.75, 0.0
-15.5, -9.6, 0.0 ; 0.0, -8.25, 0.0
-15.5, -9.6, 0.0 ; -3.0, -8.25, 0.0
-15.5, -9.6, 0.0 ; -3.5, -8.75, 0.0
-15.5, -9.6, 0.0 ; -2.5, -8.25, 0.0
-12.9, -10.5, 0.0 ; -5.0, -8.25, 0.0
-12.9, -10.5, 0.0 ; -1.5, -8.25, 0.0
-12.9, -10.5, 0.0 ; 2.0, -11.25, 0.0
-12.9, -10.5, 0.0 ; -4.0, -8.25, 0.0
-12.9, -10.5, 0.0 ; -1.5, -8.25, 0.0
-10.55, -9.9, 0.0 ; 1.5, -8.75, 0.0
-10.55, -9.9, 0.0 ; 1.0, -8.25, 0.0
-10.55, -9.9, 0.0 ; 2.0, -9.75, 0.0
-10.55, -9.9, 0.0 ; 1.0, -8.25, 0.0
-10.55, -9.9, 0.0 ; -1.0, -8.75, 0.0
-9.2, -10.75, 0.0 ; -2.0, -8.75, 0.0
-9.2, -10.75, 0.0 ; 11.5, -0.25, 0.0
-9.2, -10.75, 0.0 ; -2.0, -8.75, 0.0
-9.2, -10.75, 0.0 ; 10.0, 2.25, 0.0
-9.2, -10.75, 0.0 ; -1.0, -8.25, 0.0
-6.35, -10.2, 0.0 ; 0.0, -8.75, 0.0
-6.35, -10.2, 0.0 ; 2.0, -10.75, 0.0
-6.35, -10.2, 0.0 ; 2.0, -9.75, 0.0
-6.35, -10.2, 0.0 ; -1.0, -8.75, 0.0
-6.35, -10.2, 0.0 ; 0.0, -8.25, 0.0
-4.1, -9.9, 0.0 ; 1.0, -8.25, 0.0
